1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","",""
2,"","","","","","","第３表　企業産業（中分類）、経営組織（５区分）別企業等数－都道府県、市区町村","","","","","","",""
3,"","","","","","","Table 3  Enterprises, etc. and , by Industry Major Groups, and Legal Organization (5 Groups), for Prefectures and Municipalities","","","","","","",""
4,"","","","","","","","","","","","","",""
5,"","","","","","","keiso5.0000","keiso5.0001","keiso5.0002","keiso5.0003","keiso5.0004","keiso5.0005","keiso5.0006","keiso5.0007"
6,"","","","","","","0","1","2","3","3","3","2","1"
7,"","","","","","","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000"
8,"","","","","","","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(経営組織)","法人","(法人)会社企業","(法人)(会社企業)株式・有限・相互会社","(法人)(会社企業)合名・合資会社","(法人)(会社企業)合同会社","(法人)会社以外の法人","個人"
10,"","","地域","","","企業産業中分類","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数"
72,"ti.04000","1","宮城県","ksanB.0061","4","　　　　49 郵便業（信書便事業を含む）",1,1,1,1,-,-,-,-
73,"ti.04000","1","宮城県","ksanB.0062","2","　　I 卸売業，小売業",14140,7176,7038,6892,94,52,138,6964
74,"ti.04000","1","宮城県","ksanB.0063","3","　　　I1 卸売業",3209,2560,2490,2469,14,7,70,649
75,"ti.04000","1","宮城県","ksanB.0064","4","　　　　50 各種商品卸売業",14,8,7,7,-,-,1,6
76,"ti.04000","1","宮城県","ksanB.0065","4","　　　　51 繊維・衣服等卸売業",113,90,90,90,-,-,-,23
77,"ti.04000","1","宮城県","ksanB.0066","4","　　　　52 飲食料品卸売業",858,634,611,604,6,1,23,224
78,"ti.04000","1","宮城県","ksanB.0067","4","　　　　53 建築材料，鉱物・金属材料等卸売業",824,673,649,641,5,3,24,151
79,"ti.04000","1","宮城県","ksanB.0068","4","　　　　54 機械器具卸売業",749,654,650,648,-,2,4,95
80,"ti.04000","1","宮城県","ksanB.0069","4","　　　　55 その他の卸売業",650,500,482,478,3,1,18,150
81,"ti.04000","1","宮城県","ksanB.0070","3","　　　I2 小売業",10931,4616,4548,4423,80,45,68,6315
82,"ti.04000","1","宮城県","ksanB.0071","4","　　　　56 各種商品小売業",23,11,10,10,-,-,1,12
83,"ti.04000","1","宮城県","ksanB.0072","4","　　　　57 織物・衣服・身の回り品小売業",1070,397,395,379,14,2,2,673
84,"ti.04000","1","宮城県","ksanB.0073","4","　　　　58 飲食料品小売業",3820,1161,1123,1069,32,22,38,2659
85,"ti.04000","1","宮城県","ksanB.0074","4","　　　　59 機械器具小売業",1794,895,895,881,4,10,-,899
86,"ti.04000","1","宮城県","ksanB.0075","4","　　　　60 その他の小売業",3778,1852,1832,1799,28,5,20,1926
87,"ti.04000","1","宮城県","ksanB.0076","4","　　　　61 無店舗小売業",445,300,293,285,2,6,7,145
88,"ti.04000","1","宮城県","ksanB.0077","2","　　J 金融業，保険業",540,403,377,366,4,7,26,137
89,"ti.04000","1","宮城県","ksanB.0078","4","　　　　62 銀行業",3,3,3,3,-,-,-,-
90,"ti.04000","1","宮城県","ksanB.0079","4","　　　　63 協同組織金融業",10,10,-,-,-,-,10,-
91,"ti.04000","1","宮城県","ksanB.0080","4","　　　　64 貸金業，クレジットカード業等非預金信用機関",49,30,28,26,2,-,2,19
92,"ti.04000","1","宮城県","ksanB.0081","4","　　　　65 金融商品取引業，商品先物取引業",10,10,10,9,-,1,-,-
